bug_id,bug_type,group,edit_count,all_original_matched,modified_only_localization_file,large_deletion_detected,early_return_detected,comment_out_detected,amputation_suspected,risk_level,warnings
bug_001,memory leak,baseline,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_001,memory leak,improved,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_001,memory leak,with_trace,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_002,memory leak,baseline,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_002,memory leak,improved,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_002,memory leak,with_trace,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_003,out_of_bounds,baseline,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_003,out_of_bounds,improved,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_003,out_of_bounds,with_trace,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_004,out_of_bounds,baseline,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_004,out_of_bounds,improved,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_004,out_of_bounds,with_trace,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_005,out_of_bounds,baseline,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_005,out_of_bounds,improved,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_005,out_of_bounds,with_trace,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_006,null_pointer,baseline,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_006,null_pointer,improved,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_006,null_pointer,with_trace,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_007,null_pointer,baseline,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_007,null_pointer,improved,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_007,null_pointer,with_trace,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_008,null_pointer,baseline,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_008,null_pointer,improved,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_008,null_pointer,with_trace,1,False,False,False,True,False,False,medium,edit 1: modifies file outside localization target | edit 1: original snippet not found in source | edit 1: early return or goto requires manual review
bug_demo_001,null_pointer,baseline,1,True,True,False,True,False,False,medium,edit 1: early return or goto requires manual review
bug_demo_001,null_pointer,improved,1,True,True,False,True,False,False,medium,edit 1: early return or goto requires manual review
bug_demo_001,null_pointer,with_trace,1,True,True,False,True,False,False,medium,edit 1: early return or goto requires manual review
